,palavras,Arthur,Thiago,Priscilla
16235,Carneiro,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
16236,Januária,NOME_LOCAL,NOME_LOCAL,NOME_BEBIDA
16237,de,o,o,NOME_BEBIDA
16238,Claudionor,NOME_PESSOA,NOME_PESSOA,NOME_BEBIDA
16239,Januária,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16240,MG,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16241,Amburana,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
16242,1,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
16243,ano,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
16244,48%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
16245,2018,TEMPO,TEMPO,TEMPO
16246,Cúpula,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16247,da,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16248,Cachaça,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16249,2016,TEMPO,TEMPO,TEMPO
16250,Cúpula,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16251,da,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16252,Cachaça,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16253,Weber,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16254,Haus,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16255,Amburana,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
16256,700ml,VOLUME,VOLUME,VOLUME
16257,R$,PRECO,PRECO,VOLUME
16258,80,PRECO,PRECO,VOLUME
16259,",",PRECO,PRECO,VOLUME
16260,00,PRECO,PRECO,VOLUME
16261,700ml,VOLUME,VOLUME,VOLUME
16262,Weber,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16263,Haus,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16264,Amburana,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
16265,700ml,VOLUME,VOLUME,VOLUME
16266,um,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
16267,ano,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
16268,barris,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
16269,amburana,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
16270,Leve,o,CARACTERISTICA_SENSORIAL_SABOR,o
16271,38%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
16272,Weber,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
16273,Haus,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
16274,Evandro,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
16275,Weber,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
16276,Ivoti,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16277,encosta,o,NOME_LOCAL,o
16278,da,o,NOME_LOCAL,o
16279,Serra,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16280,Gaúcha,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16281,interior,o,NOME_LOCAL,o
16282,do,o,NOME_LOCAL,o
16283,Rio,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16284,Grande,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16285,do,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16286,Sul,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16287,Alemanha,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16288,1848,TEMPO,TEMPO,TEMPO
16289,1948,TEMPO,TEMPO,TEMPO
16290,Weber,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
16291,Haus,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
16292,Brasil,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16293,Inmetro,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
16294,Brasil,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16295,Weber,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
16296,Haus,NOME_ORGANIZACAO,NOME_ORGANIZACAO,o
16297,Ivoti,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16298,RS,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16299,Amburana,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
16300,1,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
16301,ano,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
16302,38%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
16303,2018,TEMPO,TEMPO,TEMPO
16304,Cúpula,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16305,da,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16306,Cachaça,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16307,2016,TEMPO,TEMPO,TEMPO
16308,Cúpula,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16309,da,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16310,Cachaça,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16311,2016,TEMPO,TEMPO,TEMPO
16312,Bruxelas,NOME_LOCAL,o,NOME_LOCAL
16313,Brasil,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16314,2014,TEMPO,TEMPO,NOME_LOCAL
16315,2014,TEMPO,TEMPO,TEMPO
16316,Cúpula,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16317,da,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16318,Cachaça,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16319,2013,TEMPO,TEMPO,TEMPO
16320,Bruxelas,NOME_LOCAL,o,NOME_LOCAL
16321,2009,TEMPO,TEMPO,TEMPO
16322,San,NOME_LOCAL,o,NOME_LOCAL
16323,Francisco,NOME_LOCAL,o,NOME_LOCAL
16324,2008,TEMPO,TEMPO,TEMPO
16325,San,NOME_LOCAL,o,NOME_LOCAL
16326,Francisco,NOME_LOCAL,o,NOME_LOCAL
16327,2008,TEMPO,TEMPO,TEMPO
16328,Chicago,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16329,Saliníssima,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16330,Ouro,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
16331,670ml,VOLUME,VOLUME,VOLUME
16332,R$,PRECO,PRECO,PRECO
16333,39,PRECO,PRECO,PRECO
16334,",",PRECO,PRECO,PRECO
16335,90,PRECO,PRECO,PRECO
16336,670ml,VOLUME,VOLUME,VOLUME
16337,amarelo,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
16338,-,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
16339,clara,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
16340,erva,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
16341,-,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
16342,doce,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
16343,anis,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
16344,salgado,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
16345,licorosa,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA
16346,picante,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
16347,Saliníssima,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16348,Ouro,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
16349,670ml,VOLUME,VOLUME,VOLUME
16350,10,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
16351,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
16352,barris,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
16353,bálsamo,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
16354,42%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
16355,amadeirado,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
16356,macio,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA
16357,amarelada,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
16358,corpo,o,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA
16359,vigoroso,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA
16360,Saliníssima,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16361,Fazenda,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
16362,Matrona,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
16363,Salinas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16364,norte,o,NOME_LOCAL,NOME_LOCAL
16365,de,o,NOME_LOCAL,NOME_LOCAL
16366,Minas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16367,Gerais,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16368,1955,TEMPO,TEMPO,TEMPO
16369,Olímpio,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
16370,Mendes,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
16371,Alfredo,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
16372,Mendes,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
16373,de,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
16374,Oliveira,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
16375,Olímpio,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
16376,anos,TEMPO,o,o
16377,1990,TEMPO,TEMPO,TEMPO
16378,Alfredo,NOME_PESSOA,NOME_PESSOA,NOME_LOCAL
16379,Lucas,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
16380,Mendes,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
16381,2003,TEMPO,TEMPO,TEMPO
16382,Olímpio,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
16383,Fazenda,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
16384,Matrona,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
16385,Salinas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16386,Salinas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16387,MG,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16388,Bálsamo,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
16389,10,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,o
16390,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
16391,42%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
16392,2018,TEMPO,TEMPO,TEMPO
16393,Cúpula,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16394,da,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16395,Cachaça,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16396,Prosa,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16397,Mineira,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16398,Carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
16399,Extra,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
16400,Premium,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
16401,700ml,VOLUME,VOLUME,VOLUME
16402,R$,PRECO,PRECO,PRECO
16403,57,PRECO,PRECO,PRECO
16404,",",PRECO,PRECO,PRECO
16405,00,PRECO,PRECO,PRECO
16406,700ml,VOLUME,VOLUME,VOLUME
16407,amarelo,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
16408,-,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
16409,palha,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
16410,banana,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
16411,mel,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
16412,baunilha,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
16413,doce,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
16414,aveludada,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA
16415,levemente,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
16416,picante,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
16417,amadeirado,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
16418,Prosa,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16419,Mineira,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16420,Carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
16421,Extra,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
16422,Premium,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
16423,670ml,VOLUME,VOLUME,VOLUME
16424,tonéis,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
16425,carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
16426,americano,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
16427,quatro,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
16428,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
16429,39%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
16430,macia,o,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA
16431,Premium,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
16432,Santa,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16433,Rita,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16434,de,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16435,Caldas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16436,Minas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16437,Gerais,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16438,Santa,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16439,Rita,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16440,de,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16441,Caldas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16442,sul,o,NOME_LOCAL,NOME_LOCAL
16443,de,o,NOME_LOCAL,NOME_LOCAL
16444,Minas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16445,Gerais,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16446,2010,TEMPO,TEMPO,NOME_ORGANIZACAO
16447,Prosa,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16448,Mineira,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16449,Prosa,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16450,Mineira,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16451,Santa,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16452,Rita,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16453,de,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16454,Caldas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16455,MG,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16456,Carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
16457,Americano,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
16458,4,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
16459,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
16460,39%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
16461,2018,TEMPO,TEMPO,TEMPO
16462,2017,TEMPO,TEMPO,TEMPO
16463,USP,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
16464,2016,TEMPO,TEMPO,TEMPO
16465,Bruxelas,NOME_LOCAL,o,NOME_LOCAL
16466,Prazer,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16467,de,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16468,Minas,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16469,Premium,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
16470,Unlimited,CLASSIFICACAO_BEBIDA,o,o
16471,700ml,VOLUME,VOLUME,VOLUME
16472,R$,PRECO,PRECO,PRECO
16473,175,PRECO,PRECO,PRECO
16474,",",PRECO,PRECO,PRECO
16475,00,PRECO,PRECO,PRECO
16476,700ml,VOLUME,VOLUME,VOLUME
16477,amarelo,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
16478,-,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
16479,caramelo,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
16480,alaranjada,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
16481,mel,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
16482,chocolate,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
16483,avelã,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
16484,baunilha,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
16485,tutti,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
16486,-,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
16487,frutti,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
16488,doce,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
16489,aveludada,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA
16490,licorosa,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,CARACTERISTICA_SENSORIAL_CONSISTÊNCIA
16491,forte,o,CARACTERISTICA_SENSORIAL_SABOR,o
16492,Prazer,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16493,de,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16494,Minas,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16495,Premium,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
16496,Unlimited,CLASSIFICACAO_BEBIDA,o,o
16497,700ml,VOLUME,VOLUME,VOLUME
16498,quatro,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
16499,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
16500,barris,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
16501,carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
16502,americano,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
16503,39%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
16504,1999,TEMPO,TEMPO,TEMPO
16505,Esmeraldas,o,NOME_LOCAL,NOME_LOCAL
16506,Região,o,NOME_LOCAL,o
16507,Metropolitana,o,NOME_LOCAL,o
16508,de,o,NOME_LOCAL,o
16509,Belo,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16510,Horizonte,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16511,Euler,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
16512,Chaves,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
16513,Universidade,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
16514,Federal,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
16515,de,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
16516,Lavras,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
16517,Ufla,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
16518,Prazer,NOME_BEBIDA,NOME_BEBIDA,NOME_PESSOA
16519,de,NOME_BEBIDA,NOME_BEBIDA,NOME_PESSOA
16520,Minas,NOME_BEBIDA,NOME_BEBIDA,NOME_PESSOA
16521,dornas,o,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
16522,de,o,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
16523,aço,o,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
16524,inoxidável,o,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
16525,alambiques,EQUIPAMENTO_DESTILACAO,EQUIPAMENTO_DESTILACAO,EQUIPAMENTO_DESTILACAO
16526,de,EQUIPAMENTO_DESTILACAO,EQUIPAMENTO_DESTILACAO,EQUIPAMENTO_DESTILACAO
16527,cobre,EQUIPAMENTO_DESTILACAO,EQUIPAMENTO_DESTILACAO,EQUIPAMENTO_DESTILACAO
16528,Prazer,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16529,de,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16530,Minas,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16531,Brasil,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16532,Inmetro,NOME_ORGANIZACAO,o,NOME_ORGANIZACAO
16533,Esmeraldas,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16534,MG,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16535,Carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
16536,Americano,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
16537,e,TIPO_MADEIRA,o,o
16538,Europeu,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
16539,4,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
16540,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
16541,39%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
16542,2020,TEMPO,TEMPO,TEMPO
16543,2018,TEMPO,TEMPO,TEMPO
16544,Bruxelas,NOME_LOCAL,o,NOME_LOCAL
16545,Brasil,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
16546,2017,TEMPO,TEMPO,TEMPO
16547,Tiê,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
16548,Prata,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
16549,700ml,VOLUME,VOLUME,VOLUME
16550,R$,PRECO,PRECO,PRECO
16551,54,PRECO,PRECO,PRECO
16552,",",PRECO,PRECO,PRECO
16553,00,PRECO,PRECO,PRECO
16554,700ml,VOLUME,VOLUME,VOLUME
16555,Tiê,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
