,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento,Particao,Identificacao_Treino_Teste
27175,deslumbrante,O,7820,78,90,610,9,teste
27176,",",O,7820,90,91,610,9,teste
27177,vivenciada,O,7820,92,102,610,9,teste
27178,por,O,7820,103,106,610,9,teste
27179,seu,O,7820,107,110,610,9,teste
27180,avô,O,7820,111,114,610,9,teste
27181,e,O,7820,115,116,610,9,teste
27182,ali,O,7820,117,120,610,9,teste
27183,adquiriu,O,7820,121,129,610,9,teste
27184,uma,O,7820,130,133,610,9,teste
27185,propriedade,O,7820,134,145,610,9,teste
27186,onde,O,7820,146,150,610,9,teste
27187,",",O,7820,150,151,610,9,teste
27188,junto,O,7820,152,157,610,9,teste
27189,com,O,7820,158,161,610,9,teste
27190,sua,O,7820,162,165,610,9,teste
27191,esposa,O,7820,166,172,610,9,teste
27192,e,O,7820,173,174,610,9,teste
27193,filhos,O,7820,175,181,610,9,teste
27194,",",O,7820,181,182,610,9,teste
27195,aprecia,O,7820,183,190,610,9,teste
27196,momentos,O,7820,191,199,610,9,teste
27197,de,O,7820,200,202,610,9,teste
27198,raro,O,7820,203,207,610,9,teste
27199,prazer,O,7820,208,214,610,9,teste
27200,em,O,7820,215,217,610,9,teste
27201,família,O,7820,218,225,610,9,teste
27202,.,O,7820,225,226,610,9,teste
27203,Num,O,7821,0,3,610,9,teste
27204,destes,O,7821,4,10,610,9,teste
27205,momentos,O,7821,11,19,610,9,teste
27206,",",O,7821,19,20,610,9,teste
27207,precisamente,O,7821,21,33,610,9,teste
27208,em,O,7821,34,36,610,9,teste
27209,1993,B-TEMPO,7821,37,41,610,9,teste
27210,",",O,7821,41,42,610,9,teste
27211,decidiu,O,7821,43,50,610,9,teste
27212,empreender,O,7821,51,61,610,9,teste
27213,",",O,7821,61,62,610,9,teste
27214,mais,O,7821,63,67,610,9,teste
27215,uma,O,7821,68,71,610,9,teste
27216,vez,O,7821,72,75,610,9,teste
27217,",",O,7821,75,76,610,9,teste
27218,e,O,7821,77,78,610,9,teste
27219,fundou,O,7821,79,85,610,9,teste
27220,a,O,7821,86,87,610,9,teste
27221,CACHAÇA,B-NOME_ORGANIZACAO,7821,88,95,610,9,teste
27222,DA,I-NOME_ORGANIZACAO,7821,96,98,610,9,teste
27223,MATA,I-NOME_ORGANIZACAO,7821,99,103,610,9,teste
27224,.,O,7821,103,104,610,9,teste
27225,Durante,O,7822,0,7,610,9,teste
27226,estas,O,7822,8,13,610,9,teste
27227,quase,O,7822,14,19,610,9,teste
27228,três,B-TEMPO,7822,20,24,610,9,teste
27229,décadas,I-TEMPO,7822,25,32,610,9,teste
27230,o,O,7822,33,34,610,9,teste
27231,cuidado,O,7822,35,42,610,9,teste
27232,e,O,7822,43,44,610,9,teste
27233,carinho,O,7822,45,52,610,9,teste
27234,com,O,7822,53,56,610,9,teste
27235,que,O,7822,57,60,610,9,teste
27236,sempre,O,7822,61,67,610,9,teste
27237,cuidou,O,7822,68,74,610,9,teste
27238,da,O,7822,75,77,610,9,teste
27239,propriedade,O,7822,78,89,610,9,teste
27240,",",O,7822,89,90,610,9,teste
27241,foram,O,7822,91,96,610,9,teste
27242,passados,O,7822,97,105,610,9,teste
27243,para,O,7822,106,110,610,9,teste
27244,cada,O,7822,111,115,610,9,teste
27245,litro,O,7822,116,121,610,9,teste
27246,dos,O,7822,122,125,610,9,teste
27247,produtos,O,7822,126,134,610,9,teste
27248,",",O,7822,134,135,610,9,teste
27249,para,O,7822,136,140,610,9,teste
27250,cada,O,7822,141,145,610,9,teste
27251,detalhe,O,7822,146,153,610,9,teste
27252,do,O,7822,154,156,610,9,teste
27253,alambique,O,7822,157,166,610,9,teste
27254,",",O,7822,166,167,610,9,teste
27255,dos,O,7822,168,171,610,9,teste
27256,rótulos,O,7822,172,179,610,9,teste
27257,",",O,7822,179,180,610,9,teste
27258,do,O,7822,181,183,610,9,teste
27259,canavial,O,7822,184,192,610,9,teste
27260,e,O,7822,193,194,610,9,teste
27261,tudo,O,7822,195,199,610,9,teste
27262,o,O,7822,200,201,610,9,teste
27263,mais,O,7822,202,206,610,9,teste
27264,.,O,7822,206,207,610,9,teste
27265,O,O,7823,0,1,610,9,teste
27266,respeito,O,7823,2,10,610,9,teste
27267,à,O,7823,11,12,610,9,teste
27268,natureza,O,7823,13,21,610,9,teste
27269,se,O,7823,22,24,610,9,teste
27270,fez,O,7823,25,28,610,9,teste
27271,presente,O,7823,29,37,610,9,teste
27272,desde,O,7823,38,43,610,9,teste
27273,sempre,O,7823,44,50,610,9,teste
27274,e,O,7823,51,52,610,9,teste
27275,a,O,7823,53,54,610,9,teste
27276,certificação,O,7823,55,67,610,9,teste
27277,de,O,7823,68,70,610,9,teste
27278,orgânico,O,7823,71,79,610,9,teste
27279,veio,O,7823,80,84,610,9,teste
27280,naturalmente,O,7823,85,97,610,9,teste
27281,",",O,7823,97,98,610,9,teste
27282,tornando,O,7823,99,107,610,9,teste
27283,a,O,7823,108,109,610,9,teste
27284,DA,B-NOME_BEBIDA,7823,110,112,610,9,teste
27285,MATA,I-NOME_BEBIDA,7823,113,117,610,9,teste
27286,a,O,7823,118,119,610,9,teste
27287,Primeira,O,7823,120,128,610,9,teste
27288,Cachaça,O,7823,129,136,610,9,teste
27289,Orgânica,O,7823,137,145,610,9,teste
27290,do,O,7823,146,148,610,9,teste
27291,Estado,O,7823,149,155,610,9,teste
27292,do,O,7823,156,158,610,9,teste
27293,Espírito,B-NOME_LOCAL,7823,159,167,610,9,teste
27294,Santo,I-NOME_LOCAL,7823,168,173,610,9,teste
27295,.,O,7823,173,174,610,9,teste
27296,O,O,7824,0,1,610,9,teste
27297,produto,O,7824,2,9,610,9,teste
27298,que,O,7824,10,13,610,9,teste
27299,você,O,7824,14,18,610,9,teste
27300,tem,O,7824,19,22,610,9,teste
27301,em,O,7824,23,25,610,9,teste
27302,mãos,O,7824,26,30,610,9,teste
27303,",",O,7824,30,31,610,9,teste
27304,a,O,7824,32,33,610,9,teste
27305,DA,B-NOME_BEBIDA,7824,34,36,610,9,teste
27306,MATA,I-NOME_BEBIDA,7824,37,41,610,9,teste
27307,Gran,O,7824,42,46,610,9,teste
27308,Reserva,B-CLASSIFICACAO_BEBIDA,7824,47,54,610,9,teste
27309,",",O,7824,54,55,610,9,teste
27310,é,O,7824,56,57,610,9,teste
27311,o,O,7824,58,59,610,9,teste
27312,fruto,O,7824,60,65,610,9,teste
27313,mais,O,7824,66,70,610,9,teste
27314,nobre,O,7824,71,76,610,9,teste
27315,e,O,7824,77,78,610,9,teste
27316,especial,O,7824,79,87,610,9,teste
27317,destes,O,7824,88,94,610,9,teste
27318,mesmos,O,7824,95,101,610,9,teste
27319,princípios,O,7824,102,112,610,9,teste
27320,de,O,7824,113,115,610,9,teste
27321,cuidado,O,7824,116,123,610,9,teste
27322,e,O,7824,124,125,610,9,teste
27323,carinho,O,7824,126,133,610,9,teste
27324,",",O,7824,133,134,610,9,teste
27325,na,O,7824,135,137,610,9,teste
27326,forma,O,7824,138,143,610,9,teste
27327,de,O,7824,144,146,610,9,teste
27328,uma,O,7824,147,150,610,9,teste
27329,bebida,O,7824,151,157,610,9,teste
27330,de,O,7824,158,160,610,9,teste
27331,cor,O,7824,161,164,610,9,teste
27332,e,O,7824,165,166,610,9,teste
27333,sabor,O,7824,167,172,610,9,teste
27334,únicos,O,7824,173,179,610,9,teste
27335,!,O,7824,179,180,610,9,teste
27336,A,O,7825,0,1,610,9,teste
27337,Gran,O,7825,2,6,610,9,teste
27338,Reserva,B-CLASSIFICACAO_BEBIDA,7825,7,14,610,9,teste
27339,foi,O,7825,15,18,610,9,teste
27340,especialmente,O,7825,19,32,610,9,teste
27341,criada,O,7825,33,39,610,9,teste
27342,para,O,7825,40,44,610,9,teste
27343,apreciadores,O,7825,45,57,610,9,teste
27344,como,O,7825,58,62,610,9,teste
27345,você,O,7825,63,67,610,9,teste
27346,.,O,7825,67,68,610,9,teste
27347,É,O,7826,0,1,610,9,teste
27348,uma,O,7826,2,5,610,9,teste
27349,joia,O,7826,6,10,610,9,teste
27350,rara,O,7826,11,15,610,9,teste
27351,",",O,7826,15,16,610,9,teste
27352,de,O,7826,17,19,610,9,teste
27353,produção,O,7826,20,28,610,9,teste
27354,limitada,O,7826,29,37,610,9,teste
27355,.,O,7826,37,38,610,9,teste
27356,Uma,O,7827,0,3,610,9,teste
27357,bebida,O,7827,4,10,610,9,teste
27358,para,O,7827,11,15,610,9,teste
27359,se,O,7827,16,18,610,9,teste
27360,guardar,O,7827,19,26,610,9,teste
27361,",",O,7827,26,27,610,9,teste
27362,colecionar,O,7827,28,38,610,9,teste
27363,e,O,7827,39,40,610,9,teste
27364,principalmente,O,7827,41,55,610,9,teste
27365,apreciar,O,7827,56,64,610,9,teste
27366,em,O,7827,65,67,610,9,teste
27367,excelentes,O,7827,68,78,610,9,teste
27368,momentos,O,7827,79,87,610,9,teste
27369,.,O,7827,87,88,610,9,teste
27370,Presenteie,O,7828,0,10,610,9,teste
27371,-,O,7828,10,11,610,9,teste
27372,se,O,7828,11,13,610,9,teste
27373,com,O,7828,14,17,610,9,teste
27374,este,O,7828,18,22,610,9,teste
27375,maravilhoso,O,7828,23,34,610,9,teste
27376,produto,O,7828,35,42,610,9,teste
27377,e,O,7828,43,44,610,9,teste
27378,tenha,O,7828,45,50,610,9,teste
27379,momentos,O,7828,51,59,610,9,teste
27380,de,O,7828,60,62,610,9,teste
27381,intenso,O,7828,63,70,610,9,teste
27382,prazer,O,7828,71,77,610,9,teste
27383,e,O,7828,78,79,610,9,teste
27384,felicidade,O,7828,80,90,610,9,teste
27385,apreciando,O,7828,91,101,610,9,teste
27386,sua,O,7828,102,105,610,9,teste
27387,DA,B-NOME_BEBIDA,7828,106,108,610,9,teste
27388,MATA,I-NOME_BEBIDA,7828,109,113,610,9,teste
27389,Gran,O,7828,114,118,610,9,teste
27390,Reserva,B-CLASSIFICACAO_BEBIDA,7828,119,126,610,9,teste
27391,.,O,7828,126,127,610,9,teste
27392,Modo,O,7829,0,4,610,9,teste
27393,de,O,7829,5,7,610,9,teste
27394,Produção,O,7829,8,16,610,9,teste
27395,:,O,7829,16,17,610,9,teste
27396,CACHAÇA,O,7829,18,25,610,9,teste
27397,ARTESANAL,O,7829,26,35,610,9,teste
27398,OU,O,7829,36,38,610,9,teste
27399,DE,O,7829,39,41,610,9,teste
27400,ALAMBIQUE,B-EQUIPAMENTO_DESTILACAO,7829,42,51,610,9,teste
27401,LOCAL,O,7830,0,5,610,9,teste
27402,DE,O,7830,6,8,610,9,teste
27403,PRODUÇÃO,O,7830,9,17,610,9,teste
27404,:,O,7830,17,18,610,9,teste
27405,SANTA,B-NOME_LOCAL,7830,19,24,610,9,teste
27406,TERESA,I-NOME_LOCAL,7830,25,31,610,9,teste
27407,-,O,7830,32,33,610,9,teste
27408,ES,B-NOME_LOCAL,7830,34,36,610,9,teste
27409,Volume,O,7831,0,6,610,9,teste
27410,:,O,7831,6,7,610,9,teste
27411,700,B-VOLUME,7831,8,11,610,9,teste
27412,ML,I-VOLUME,7831,12,14,610,9,teste
27413,Graduação,O,7832,0,9,610,9,teste
27414,Alcóolica,O,7832,10,19,610,9,teste
27415,:,O,7832,19,20,610,9,teste
27416,40%,B-GRADUACAO_ALCOOLICA,7832,21,24,610,9,teste
27417,VOL,O,7832,25,28,610,9,teste
27418,.,O,7832,28,29,610,9,teste
27419,NOME,O,7915,0,4,617,9,teste
27420,DA,O,7915,5,7,617,9,teste
27421,CACHAÇA,O,7915,8,15,617,9,teste
27422,:,O,7915,15,16,617,9,teste
27423,Cachaça,O,7915,17,24,617,9,teste
27424,Dom,B-NOME_BEBIDA,7915,25,28,617,9,teste
27425,Bré,I-NOME_BEBIDA,7915,29,32,617,9,teste
27426,Carvalho,B-TIPO_MADEIRA,7915,33,41,617,9,teste
27427,Extra,B-CLASSIFICACAO_BEBIDA,7915,42,47,617,9,teste
27428,Premium,I-CLASSIFICACAO_BEBIDA,7915,48,55,617,9,teste
27429,700,B-VOLUME,7915,56,59,617,9,teste
27430,ml,I-VOLUME,7915,60,62,617,9,teste
27431,PREÇO,O,7916,0,5,617,9,teste
27432,:,O,7916,5,6,617,9,teste
27433,R$,B-PRECO,7916,7,9,617,9,teste
27434,142,I-PRECO,7916,10,13,617,9,teste
27435,",",I-PRECO,7916,13,14,617,9,teste
27436,0,I-PRECO,7916,14,16,617,9,teste
27437,DESCRIÇÃO,O,7917,0,9,617,9,teste
27438,DA,O,7917,10,12,617,9,teste
27439,CACHAÇA,O,7917,13,20,617,9,teste
27440,:,O,7917,20,21,617,9,teste
27441,Cachaça,O,7917,22,29,617,9,teste
27442,Dom,B-NOME_BEBIDA,7917,30,33,617,9,teste
27443,Bré,I-NOME_BEBIDA,7917,34,37,617,9,teste
27444,Carvalho,B-TIPO_MADEIRA,7917,38,46,617,9,teste
27445,Extra,B-CLASSIFICACAO_BEBIDA,7917,47,52,617,9,teste
27446,Premium,I-CLASSIFICACAO_BEBIDA,7917,53,60,617,9,teste
27447,",",O,7917,60,61,617,9,teste
27448,produzida,O,7917,62,71,617,9,teste
27449,no,O,7917,72,74,617,9,teste
27450,Alambique,B-NOME_ORGANIZACAO,7917,75,84,617,9,teste
27451,Guarani,I-NOME_ORGANIZACAO,7917,85,92,617,9,teste
27452,",",O,7917,92,93,617,9,teste
27453,Minas,B-NOME_LOCAL,7917,94,99,617,9,teste
27454,Gerais,I-NOME_LOCAL,7917,100,106,617,9,teste
27455,é,O,7917,107,108,617,9,teste
27456,uma,O,7917,109,112,617,9,teste
27457,bebida,O,7917,113,119,617,9,teste
27458,destilada,O,7917,120,129,617,9,teste
27459,na,O,7917,130,132,617,9,teste
27460,fermentação,O,7917,133,144,617,9,teste
27461,da,O,7917,145,147,617,9,teste
27462,cana,O,7917,148,152,617,9,teste
27463,de,O,7917,153,155,617,9,teste
27464,açúcar,O,7917,156,162,617,9,teste
27465,com,O,7917,163,166,617,9,teste
27466,40%,B-GRADUACAO_ALCOOLICA,7917,167,170,617,9,teste
27467,vol,O,7917,171,174,617,9,teste
27468,.,O,7917,174,175,617,9,teste
27469,",",O,7917,175,176,617,9,teste
27470,armazenada,O,7917,177,187,617,9,teste
27471,por,O,7917,188,191,617,9,teste
27472,um,O,7917,192,194,617,9,teste
27473,longo,O,7917,195,200,617,9,teste
27474,tempo,O,7917,201,206,617,9,teste
27475,",",O,7917,206,207,617,9,teste
27476,em,O,7917,208,210,617,9,teste
27477,tonéis,B-RECIPIENTE_ARMAZENAMENTO,7917,211,217,617,9,teste
27478,de,O,7917,218,220,617,9,teste
27479,Carvalho,B-TIPO_MADEIRA,7917,221,229,617,9,teste
27480,.,O,7917,229,230,617,9,teste
27481,Possui,O,7918,0,6,617,9,teste
27482,aroma,O,7918,7,12,617,9,teste
27483,harmônico,O,7918,13,22,617,9,teste
27484,e,O,7918,23,24,617,9,teste
27485,equilibrado,O,7918,25,36,617,9,teste
27486,entre,O,7918,37,42,617,9,teste
27487,o,O,7918,43,44,617,9,teste
27488,amadeirado,B-CARACTERISTICA_SENSORIAL_AROMA,7918,45,55,617,9,teste
27489,",",O,7918,55,56,617,9,teste
27490,o,O,7918,57,58,617,9,teste
27491,frutado,B-CARACTERISTICA_SENSORIAL_AROMA,7918,59,66,617,9,teste
27492,e,O,7918,67,68,617,9,teste
27493,o,O,7918,69,70,617,9,teste
27494,abaunilhado,B-CARACTERISTICA_SENSORIAL_AROMA,7918,71,82,617,9,teste
27495,.,O,7918,82,83,617,9,teste
27496,Foi,O,7919,0,3,617,9,teste
27497,Eleita,O,7919,4,10,617,9,teste
27498,a,O,7919,11,12,617,9,teste
27499,4ª,O,7919,13,15,617,9,teste
27500,melhor,O,7919,16,22,617,9,teste
27501,Cachaça,O,7919,23,30,617,9,teste
27502,do,O,7919,31,33,617,9,teste
27503,Brasil,B-NOME_LOCAL,7919,34,40,617,9,teste
27504,segundo,O,7919,41,48,617,9,teste
27505,o,O,7919,49,50,617,9,teste
27506,ranking,O,7919,51,58,617,9,teste
27507,mais,O,7919,59,63,617,9,teste
27508,conceituado,O,7919,64,75,617,9,teste
27509,do,O,7919,76,78,617,9,teste
27510,país,O,7919,79,83,617,9,teste
27511,",",O,7919,83,84,617,9,teste
27512,o,O,7919,85,86,617,9,teste
27513,ranking,O,7919,87,94,617,9,teste
27514,da,O,7919,95,97,617,9,teste
27515,cúpula,B-NOME_ORGANIZACAO,7919,98,104,617,9,teste
27516,da,I-NOME_ORGANIZACAO,7919,105,107,617,9,teste
27517,cachaça,I-NOME_ORGANIZACAO,7919,108,115,617,9,teste
27518,Volume,O,7919,116,122,617,9,teste
27519,:,O,7919,122,123,617,9,teste
27520,700,B-VOLUME,7919,124,127,617,9,teste
27521,ml,I-VOLUME,7919,128,130,617,9,teste
27522,Teor,O,7919,131,135,617,9,teste
27523,Alcoólico,O,7919,136,145,617,9,teste
27524,:,O,7919,145,146,617,9,teste
27525,40%,B-GRADUACAO_ALCOOLICA,7919,147,150,617,9,teste
27526,Vol,O,7919,151,154,617,9,teste
27527,.,O,7919,154,155,617,9,teste
27528,INFORMAÇÕES,O,7920,0,11,617,9,teste
27529,DO,O,7920,12,14,617,9,teste
27530,PRODUTO,O,7920,15,22,617,9,teste
27531,:,O,7920,22,23,617,9,teste
27532,Produzido,O,7920,24,33,617,9,teste
27533,em,O,7920,34,36,617,9,teste
27534,Alambique,B-NOME_ORGANIZACAO,7920,37,46,617,9,teste
27535,Guarani,I-NOME_ORGANIZACAO,7920,47,54,617,9,teste
27536,",",O,7920,54,55,617,9,teste
27537,localizado,O,7920,56,66,617,9,teste
27538,na,O,7920,67,69,617,9,teste
27539,zona,O,7920,70,74,617,9,teste
27540,rural,O,7920,75,80,617,9,teste
27541,da,O,7920,81,83,617,9,teste
27542,cidade,O,7920,84,90,617,9,teste
27543,de,O,7920,91,93,617,9,teste
27544,Guarani,B-NOME_LOCAL,7920,94,101,617,9,teste
27545,",",O,7920,101,102,617,9,teste
27546,Minas,B-NOME_LOCAL,7920,103,108,617,9,teste
27547,Gerais,I-NOME_LOCAL,7920,109,115,617,9,teste
27548,",",O,7920,115,116,617,9,teste
27549,é,O,7920,117,118,617,9,teste
27550,uma,O,7920,119,122,617,9,teste
27551,bebida,O,7920,123,129,617,9,teste
27552,destilada,O,7920,130,139,617,9,teste
27553,na,O,7920,140,142,617,9,teste
27554,fermentação,O,7920,143,154,617,9,teste
27555,da,O,7920,155,157,617,9,teste
27556,cana,O,7920,158,162,617,9,teste
27557,de,O,7920,163,165,617,9,teste
27558,açúcar,O,7920,166,172,617,9,teste
27559,com,O,7920,173,176,617,9,teste
27560,40%,B-GRADUACAO_ALCOOLICA,7920,177,180,617,9,teste
27561,vol,O,7920,181,184,617,9,teste
27562,.,O,7920,184,185,617,9,teste
27563,",",O,7920,185,186,617,9,teste
27564,armazenada,O,7920,187,197,617,9,teste
27565,por,O,7920,198,201,617,9,teste
27566,um,O,7920,202,204,617,9,teste
27567,longo,O,7920,205,210,617,9,teste
27568,tempo,O,7920,211,216,617,9,teste
27569,",",O,7920,216,217,617,9,teste
27570,em,O,7920,218,220,617,9,teste
27571,tonéis,B-RECIPIENTE_ARMAZENAMENTO,7920,221,227,617,9,teste
27572,de,O,7920,228,230,617,9,teste
27573,Carvalho,B-TIPO_MADEIRA,7920,231,239,617,9,teste
27574,.,O,7920,239,240,617,9,teste
27575,Seu,O,7921,0,3,617,9,teste
27576,aroma,O,7921,4,9,617,9,teste
27577,possui,O,7921,10,16,617,9,teste
27578,um,O,7921,17,19,617,9,teste
27579,harmonioso,O,7921,20,30,617,9,teste
27580,equilíbrio,O,7921,31,41,617,9,teste
27581,entre,O,7921,42,47,617,9,teste
27582,o,O,7921,48,49,617,9,teste
27583,amadeirado,B-CARACTERISTICA_SENSORIAL_AROMA,7921,50,60,617,9,teste
27584,",",O,7921,60,61,617,9,teste
27585,o,O,7921,62,63,617,9,teste
27586,frutado,B-CARACTERISTICA_SENSORIAL_AROMA,7921,64,71,617,9,teste
27587,e,O,7921,72,73,617,9,teste
27588,o,O,7921,74,75,617,9,teste
27589,abaunilhado,B-CARACTERISTICA_SENSORIAL_AROMA,7921,76,87,617,9,teste
27590,",",O,7921,87,88,617,9,teste
27591,resultando,O,7921,89,99,617,9,teste
27592,em,O,7921,100,102,617,9,teste
27593,uma,O,7921,103,106,617,9,teste
27594,cachaça,O,7921,107,114,617,9,teste
27595,leve,O,7921,115,119,617,9,teste
27596,",",O,7921,119,120,617,9,teste
27597,porém,O,7921,121,126,617,9,teste
27598,",",O,7921,126,127,617,9,teste
27599,de,O,7921,128,130,617,9,teste
27600,sabor,O,7921,131,136,617,9,teste
27601,marcante,O,7921,137,145,617,9,teste
27602,",",O,7921,145,146,617,9,teste
27603,ideal,O,7921,147,152,617,9,teste
27604,para,O,7921,153,157,617,9,teste
27605,os,O,7921,158,160,617,9,teste
27606,mais,O,7921,161,165,617,9,teste
27607,exigentes,O,7921,166,175,617,9,teste
27608,apreciadores,O,7921,176,188,617,9,teste
27609,.,O,7921,188,189,617,9,teste
27610,Modo,O,7922,0,4,617,9,teste
27611,de,O,7922,5,7,617,9,teste
27612,Produção,O,7922,8,16,617,9,teste
27613,:,O,7922,16,17,617,9,teste
27614,CACHAÇA,O,7922,18,25,617,9,teste
27615,ARTESANAL,O,7922,26,35,617,9,teste
27616,OU,O,7922,36,38,617,9,teste
27617,DE,O,7922,39,41,617,9,teste
27618,ALAMBIQUE,B-EQUIPAMENTO_DESTILACAO,7922,42,51,617,9,teste
27619,LOCAL,O,7923,0,5,617,9,teste
27620,DE,O,7923,6,8,617,9,teste
27621,PRODUÇÃO,O,7923,9,17,617,9,teste
27622,:,O,7923,17,18,617,9,teste
27623,GUARANI,B-NOME_LOCAL,7923,19,26,617,9,teste
27624,/,O,7923,26,27,617,9,teste
27625,MG,B-NOME_LOCAL,7923,27,29,617,9,teste
27626,Barril,O,7924,0,6,617,9,teste
27627,:,O,7924,6,7,617,9,teste
27628,TONÉIS,B-RECIPIENTE_ARMAZENAMENTO,7924,8,14,617,9,teste
27629,DE,O,7924,15,17,617,9,teste
27630,CARVALHO,B-TIPO_MADEIRA,7924,18,26,617,9,teste
27631,Volume,O,7925,0,6,617,9,teste
27632,:,O,7925,6,7,617,9,teste
27633,40%,B-GRADUACAO_ALCOOLICA,7925,8,11,617,9,teste
27634,VOL,O,7925,12,15,617,9,teste
27635,.,O,7925,15,16,617,9,teste
27636,Graduação,O,7926,0,9,617,9,teste
27637,Alcóolica,O,7926,10,19,617,9,teste
27638,:,O,7926,19,20,617,9,teste
27639,40%,B-GRADUACAO_ALCOOLICA,7926,21,24,617,9,teste
27640,VOL,O,7926,25,28,617,9,teste
27641,.,O,7926,28,29,617,9,teste
27642,NOME,O,8073,0,4,627,9,teste
27643,DA,O,8073,5,7,627,9,teste
27644,CACHAÇA,O,8073,8,15,627,9,teste
27645,:,O,8073,15,16,627,9,teste
27646,Cachaça,O,8073,17,24,627,9,teste
27647,Excelência,B-NOME_BEBIDA,8073,25,35,627,9,teste
27648,Castanheira,B-TIPO_MADEIRA,8073,36,47,627,9,teste
27649,700ML,B-VOLUME,8073,48,53,627,9,teste
27650,PREÇO,O,8074,0,5,627,9,teste
27651,:,O,8074,5,6,627,9,teste
27652,R$,B-PRECO,8074,7,9,627,9,teste
27653,79,I-PRECO,8074,10,12,627,9,teste
27654,",",I-PRECO,8074,12,13,627,9,teste
27655,90,I-PRECO,8074,13,15,627,9,teste
27656,DESCRIÇÃO,O,8075,0,9,627,9,teste
27657,DA,O,8075,10,12,627,9,teste
27658,CACHAÇA,O,8075,13,20,627,9,teste
27659,:,O,8075,20,21,627,9,teste
27660,Cachaça,O,8075,22,29,627,9,teste
27661,Excelência,B-NOME_BEBIDA,8075,30,40,627,9,teste
27662,Castranheira,B-TIPO_MADEIRA,8075,41,53,627,9,teste
27663,700ML,B-VOLUME,8075,54,59,627,9,teste
27664,é,O,8075,60,61,627,9,teste
27665,armazenada,O,8075,62,72,627,9,teste
27666,por,O,8075,73,76,627,9,teste
27667,no,O,8075,77,79,627,9,teste
27668,mínimo,O,8075,80,86,627,9,teste
27669,1,B-TEMPO_ARMAZENAMENTO,8075,87,89,627,9,teste
27670,ano,I-TEMPO_ARMAZENAMENTO,8075,90,93,627,9,teste
27671,em,O,8075,94,96,627,9,teste
27672,tonéis,B-RECIPIENTE_ARMAZENAMENTO,8075,97,103,627,9,teste
27673,de,O,8075,104,106,627,9,teste
27674,castanheira,B-TIPO_MADEIRA,8075,107,118,627,9,teste
27675,o,O,8075,119,120,627,9,teste
27676,que,O,8075,121,124,627,9,teste
27677,lhe,O,8075,125,128,627,9,teste
27678,confere,O,8075,129,136,627,9,teste
27679,aromas,O,8075,137,143,627,9,teste
27680,e,O,8075,144,145,627,9,teste
27681,sabores,O,8075,146,153,627,9,teste
27682,de,O,8075,154,156,627,9,teste
27683,amêndoa,B-CARACTERISTICA_SENSORIAL_SABOR,8075,157,164,627,9,teste
27684,e,O,8075,165,166,627,9,teste
27685,castanha,B-CARACTERISTICA_SENSORIAL_SABOR,8075,167,175,627,9,teste
27686,fresca,I-CARACTERISTICA_SENSORIAL_SABOR,8075,176,182,627,9,teste
27687,.,O,8075,182,183,627,9,teste
27688,Produzida,O,8076,0,9,627,9,teste
27689,em,O,8076,10,12,627,9,teste
27690,Passa,B-NOME_LOCAL,8076,13,18,627,9,teste
27691,4,I-NOME_LOCAL,8076,19,20,627,9,teste
27692,-,O,8076,21,22,627,9,teste
27693,MG,B-NOME_LOCAL,8076,23,25,627,9,teste
27694,.,O,8076,25,26,627,9,teste
27695,INFORMAÇÕES,O,8077,0,11,627,9,teste
27696,DO,O,8077,12,14,627,9,teste
27697,PRODUTO,O,8077,15,22,627,9,teste
27698,:,O,8077,22,23,627,9,teste
27699,Tipo,O,8077,24,28,627,9,teste
27700,:,O,8077,28,29,627,9,teste
27701,Origem,O,8077,30,36,627,9,teste
27702,:,O,8077,36,37,627,9,teste
27703,Teor,O,8077,38,42,627,9,teste
27704,Alcoolico,O,8077,43,52,627,9,teste
27705,:,O,8077,52,53,627,9,teste
27706,Armazedana,O,8077,54,64,627,9,teste
27707,em,O,8077,65,67,627,9,teste
27708,:,O,8077,67,68,627,9,teste
27709,Volume,O,8077,69,75,627,9,teste
27710,:,O,8077,75,76,627,9,teste
27711,Modo,O,8077,77,81,627,9,teste
27712,de,O,8077,82,84,627,9,teste
27713,Produção,O,8077,85,93,627,9,teste
27714,:,O,8077,93,94,627,9,teste
27715,OURO,B-CLASSIFICACAO_BEBIDA,8077,95,99,627,9,teste
27716,PASSA,B-NOME_LOCAL,8077,100,105,627,9,teste
27717,QUATRO,I-NOME_LOCAL,8077,106,112,627,9,teste
27718,-,O,8077,112,113,627,9,teste
27719,MG,B-NOME_LOCAL,8077,113,115,627,9,teste
27720,42%VOL,O,8077,116,122,627,9,teste
27721,CASTANHEIRA,B-TIPO_MADEIRA,8077,123,134,627,9,teste
27722,700ML,B-VOLUME,8077,135,140,627,9,teste
27723,CACHAÇA,O,8077,141,148,627,9,teste
27724,ARTESANAL,O,8077,149,158,627,9,teste
27725,OU,O,8077,159,161,627,9,teste
27726,DE,O,8077,162,164,627,9,teste
27727,ALAMBIQUE,B-EQUIPAMENTO_DESTILACAO,8077,165,174,627,9,teste
27728,Modo,O,8078,0,4,627,9,teste
27729,de,O,8078,5,7,627,9,teste
27730,Produção,O,8078,8,16,627,9,teste
27731,:,O,8078,16,17,627,9,teste
27732,CACHAÇA,O,8078,18,25,627,9,teste
27733,ARTESANAL,O,8078,26,35,627,9,teste
27734,OU,O,8078,36,38,627,9,teste
